Classificação_Lucro;Auditoria_De_Frete;Verificação_De_Entrega;Comissões;Classificação_Demográfica
Lucratividade Normal;Frete OK;Pendente;65,208;Adulto
Lucratividade Normal;Frete OK;Pendente;203,256;Adulto
Lucratividade Normal;Frete OK;7;179;Adulto
Alta Lucratividade;Frete OK;11;852,8;Adulto
Lucratividade Normal;Frete OK;Pendente;36,404;Adulto
Lucratividade Normal;Frete OK;Pendente;172,044;Adulto
Alta Lucratividade;Frete OK;17;576,864;Adulto
Lucratividade Normal;Frete OK;Pendente;213,822;Adulto
Lucratividade Normal;Frete OK;Pendente;56,316;Adulto
Lucratividade Normal;Frete OK;Pendente;82,756;Jovem
Lucratividade Normal;Frete OK;Pendente;167,751;Adulto
Alta Lucratividade;Frete OK;21;830,11;Adulto
Alta Lucratividade;Frete OK;Pendente;263,61;Adulto
Alta Lucratividade;Frete OK;Pendente;346,275;Adulto
Lucratividade Normal;Frete OK;Pendente;281,466;Adulto
Lucratividade Normal;Frete OK;Pendente;158,338;Adulto
Alta Lucratividade;Frete OK;4;1090,5;Jovem
Lucratividade Normal;Frete OK;12;52,56;Jovem
Lucratividade Normal;Auditar Frete;16;14,8;Adulto
Lucratividade Normal;Auditar Frete;Pendente;3,281;Adulto
Alta Lucratividade;Frete OK;8;255,474;Adulto
Alta Lucratividade;Frete OK;Pendente;1561,2;Jovem
Lucratividade Normal;Frete OK;Pendente;111,2;Adulto
Lucratividade Normal;Frete OK;14;225,435;Adulto
Lucratividade Normal;Frete OK;Pendente;85,23;Adulto
Alta Lucratividade;Frete OK;3;742,216;Adulto
Lucratividade Normal;Frete OK;20;177,46;Adulto
Lucratividade Normal;Frete OK;Pendente;137,754;Adulto
Lucratividade Normal;Frete OK;Pendente;667,25;Adulto
Lucratividade Normal;Frete OK;Pendente;150,444;Adulto
Alta Lucratividade;Frete OK;Pendente;2032;Adulto
Lucratividade Normal;Frete OK;Pendente;206,874;Adulto
Lucratividade Normal;Auditar Frete;Pendente;28,3;Adulto
Lucratividade Normal;Frete OK;Pendente;477,7;Adulto
Alta Lucratividade;Frete OK;7;435,252;Adulto
Alta Lucratividade;Frete OK;21;272,27;Adulto
Alta Lucratividade;Frete OK;Pendente;395,01;Adulto
Lucratividade Normal;Frete OK;22;75,429;Adulto
Alta Lucratividade;Frete OK;7;472,283;Jovem
Alta Lucratividade;Frete OK;Pendente;645,408;Adulto
Lucratividade Normal;Frete OK;19;81,36;Adulto
Lucratividade Normal;Frete OK;Pendente;295,2;Adulto
Lucratividade Normal;Auditar Frete;Pendente;11,781;Adulto
Alta Lucratividade;Frete OK;Pendente;387,828;Jovem
Alta Lucratividade;Frete OK;Pendente;495,18;Adulto
Lucratividade Normal;Frete OK;Pendente;222,921;Adulto
Alta Lucratividade;Frete OK;Pendente;679,5;Adulto
Lucratividade Normal;Auditar Frete;19;3,417;Adulto
Lucratividade Normal;Frete OK;17;74,8;Jovem
Alta Lucratividade;Frete OK;15;508,212;Adulto
Lucratividade Normal;Auditar Frete;Pendente;4,914;Adulto
Lucratividade Normal;Frete OK;21;215;Adulto
Lucratividade Normal;Frete OK;Pendente;328,1;Adulto
Lucratividade Normal;Frete OK;21;247,6;Adulto
Lucratividade Normal;Frete OK;13;312,3;Jovem
Lucratividade Normal;Frete OK;Pendente;185,7;Adulto
Alta Lucratividade;Frete OK;9;487,236;Adulto
Lucratividade Normal;Frete OK;Pendente;77,311;Adulto
Alta Lucratividade;Frete OK;Pendente;651,6;Jovem
Lucratividade Normal;Frete OK;Pendente;290,088;Adulto
Lucratividade Normal;Frete OK;5;617,5;Adulto
Lucratividade Normal;Frete OK;3;87,12;Adulto
Alta Lucratividade;Frete OK;Pendente;974,5;Adulto
Lucratividade Normal;Frete OK;16;137,664;Adulto
Lucratividade Normal;Frete OK;12;132,62;Adulto
Lucratividade Normal;Frete OK;13;219,98;Adulto
Alta Lucratividade;Frete OK;Pendente;635,949;Adulto
Alta Lucratividade;Frete OK;Pendente;658,05;Adulto
Alta Lucratividade;Frete OK;12;399,969;Adulto
Lucratividade Normal;Auditar Frete;12;38,658;Jovem
Alta Lucratividade;Frete OK;14;1218,5;Adulto
Alta Lucratividade;Frete OK;19;307,344;Adulto
Alta Lucratividade;Frete OK;3;689,18;Adulto
Lucratividade Normal;Frete OK;13;95,557;Adulto
Lucratividade Normal;Frete OK;Pendente;49,122;Jovem
Alta Lucratividade;Frete OK;Pendente;934,75;Jovem
Lucratividade Normal;Frete OK;7;346,885;Adulto
Alta Lucratividade;Frete OK;23;660,6;Adulto
Lucratividade Normal;Frete OK;4;238,488;Adulto
Lucratividade Normal;Frete OK;Pendente;51,153;Adulto
Lucratividade Normal;Frete OK;Pendente;104,671;Adulto
Lucratividade Normal;Frete OK;Pendente;160,74;Adulto
Alta Lucratividade;Frete OK;Pendente;400,86;Adulto
Alta Lucratividade;Frete OK;Pendente;1903,05;Adulto
Lucratividade Normal;Frete OK;Pendente;187,492;Adulto
Lucratividade Normal;Auditar Frete;3;11,424;Adulto
Alta Lucratividade;Frete OK;8;654,432;Adulto
Lucratividade Normal;Frete OK;Pendente;164,985;Adulto
Alta Lucratividade;Frete OK;Pendente;1596,4;Adulto
Alta Lucratividade;Frete OK;8;1030,8;Adulto
Alta Lucratividade;Frete OK;3;1228,8;Adulto
Lucratividade Normal;Frete OK;Pendente;22,14;Adulto
Alta Lucratividade;Frete OK;2;675,963;Adulto
Lucratividade Normal;Frete OK;10;159,2;Adulto
Lucratividade Normal;Frete OK;Pendente;81,662;Adulto
Alta Lucratividade;Frete OK;Pendente;289,94;Adulto
Alta Lucratividade;Frete OK;Pendente;799,05;Jovem
Alta Lucratividade;Frete OK;Pendente;1240,8;Adulto
Lucratividade Normal;Frete OK;Pendente;201,528;Adulto
Alta Lucratividade;Frete OK;Pendente;1109,1;Adulto
Alta Lucratividade;Frete OK;Pendente;755,892;Adulto
Lucratividade Normal;Frete OK;Pendente;81,792;Adulto
Alta Lucratividade;Frete OK;Pendente;244,62;Adulto
Alta Lucratividade;Frete OK;22;846,77;Adulto
Alta Lucratividade;Frete OK;Pendente;471,96;Adulto
Lucratividade Normal;Frete OK;10;87,267;Adulto
Lucratividade Normal;Frete OK;18;95,364;Adulto
Lucratividade Normal;Frete OK;Pendente;103,734;Adulto
Lucratividade Normal;Auditar Frete;Pendente;40,85;Adulto
Lucratividade Normal;Frete OK;7;67,536;Adulto
Lucratividade Normal;Frete OK;8;156,75;Adulto
Alta Lucratividade;Frete OK;3;219,45;Adulto
Alta Lucratividade;Frete OK;11;329,992;Adulto
Lucratividade Normal;Auditar Frete;Pendente;8,67;Adulto
Alta Lucratividade;Frete OK;25;512,568;Adulto
Alta Lucratividade;Frete OK;Pendente;386,665;Adulto
Lucratividade Normal;Auditar Frete;Pendente;27,625;Adulto
Alta Lucratividade;Frete OK;3;518,256;Jovem
Lucratividade Normal;Frete OK;Pendente;232,254;Adulto
Lucratividade Normal;Frete OK;12;332,1;Adulto
Lucratividade Normal;Frete OK;7;313,35;Adulto
Alta Lucratividade;Frete OK;21;790,2;Adulto
Lucratividade Normal;Frete OK;Pendente;76,152;Adulto
Lucratividade Normal;Frete OK;17;259,624;Jovem
Alta Lucratividade;Frete OK;8;529,872;Adulto
Lucratividade Normal;Frete OK;20;308,85;Adulto
Lucratividade Normal;Frete OK;16;207,9;Adulto
Lucratividade Normal;Frete OK;Pendente;156,256;Adulto
Lucratividade Normal;Frete OK;Pendente;391,1;Adulto
Lucratividade Normal;Frete OK;Pendente;226,848;Adulto
Alta Lucratividade;Frete OK;Pendente;625,968;Adulto
Lucratividade Normal;Frete OK;Pendente;105;Adulto
Lucratividade Normal;Frete OK;7;259,02;Adulto
Alta Lucratividade;Frete OK;Pendente;890,82;Jovem
Alta Lucratividade;Frete OK;19;702,576;Adulto
Alta Lucratividade;Frete OK;14;409,644;Adulto
Alta Lucratividade;Frete OK;18;219,504;Adulto
Lucratividade Normal;Frete OK;Pendente;723;Adulto
Alta Lucratividade;Frete OK;Pendente;545,3;Adulto
Alta Lucratividade;Frete OK;24;514,539;Adulto
Lucratividade Normal;Frete OK;Pendente;72,72;Jovem
Alta Lucratividade;Frete OK;Pendente;1811,2;Adulto
Lucratividade Normal;Frete OK;Pendente;191,824;Adulto
Alta Lucratividade;Frete OK;Pendente;412,29;Jovem
Alta Lucratividade;Frete OK;3;238,355;Adulto
Lucratividade Normal;Frete OK;Pendente;220,456;Adulto
Lucratividade Normal;Frete OK;Pendente;176,472;Adulto
Lucratividade Normal;Frete OK;13;109,692;Adulto
Alta Lucratividade;Frete OK;22;274,652;Adulto
Alta Lucratividade;Frete OK;Pendente;615,79;Adulto
Lucratividade Normal;Frete OK;23;33,345;Adulto
Lucratividade Normal;Frete OK;22;461,1;Adulto
Alta Lucratividade;Frete OK;Pendente;1303,6;Jovem
Lucratividade Normal;Frete OK;Pendente;108,1;Adulto
Lucratividade Normal;Frete OK;22;281,124;Adulto
Lucratividade Normal;Frete OK;22;169,936;Jovem
Lucratividade Normal;Frete OK;8;512,7;Jovem
Alta Lucratividade;Frete OK;25;681,8;Adulto
Lucratividade Normal;Frete OK;Pendente;196,27;Adulto
Lucratividade Normal;Frete OK;Pendente;169,556;Adulto
Lucratividade Normal;Auditar Frete;15;35,3;Jovem
Alta Lucratividade;Frete OK;2;471,258;Adulto
Alta Lucratividade;Frete OK;21;482,112;Adulto
Lucratividade Normal;Frete OK;Pendente;187,2;Adulto
Lucratividade Normal;Auditar Frete;Pendente;29,7;Adulto
Lucratividade Normal;Frete OK;20;140,076;Adulto
Lucratividade Normal;Frete OK;Pendente;297,6;Jovem
Alta Lucratividade;Frete OK;Pendente;255,06;Adulto
Alta Lucratividade;Frete OK;21;468,288;Adulto
Lucratividade Normal;Auditar Frete;23;18,715;Adulto
Lucratividade Normal;Frete OK;Pendente;177,174;Adulto
Alta Lucratividade;Frete OK;16;575,127;Adulto
Lucratividade Normal;Frete OK;10;177,46;Adulto
Lucratividade Normal;Frete OK;Pendente;170,772;Adulto
Lucratividade Normal;Frete OK;Pendente;220,83;Jovem
Lucratividade Normal;Frete OK;Pendente;40,59;Jovem
Alta Lucratividade;Frete OK;15;1472,7;Adulto
Alta Lucratividade;Frete OK;13;531,063;Jovem
Alta Lucratividade;Frete OK;17;397,341;Adulto
Alta Lucratividade;Frete OK;3;496,35;Jovem
Lucratividade Normal;Frete OK;Pendente;290,5;Adulto
Alta Lucratividade;Frete OK;Pendente;1249,65;Adulto
Lucratividade Normal;Frete OK;Pendente;240,236;Adulto
Lucratividade Normal;Frete OK;Pendente;106,335;Adulto
Lucratividade Normal;Auditar Frete;Pendente;4,182;Adulto
Lucratividade Normal;Auditar Frete;10;17,7;Adulto
Lucratividade Normal;Frete OK;3;94,791;Adulto
Alta Lucratividade;Frete OK;11;403,18;Adulto
Lucratividade Normal;Frete OK;Pendente;333;Adulto
Lucratividade Normal;Auditar Frete;Pendente;32,718;Adulto
Lucratividade Normal;Frete OK;Pendente;137,142;Adulto
Alta Lucratividade;Frete OK;Pendente;626,544;Adulto
Lucratividade Normal;Frete OK;Pendente;40,09;Adulto
Lucratividade Normal;Frete OK;Pendente;54,144;Jovem
Lucratividade Normal;Frete OK;12;240,065;Adulto
Lucratividade Normal;Frete OK;Pendente;279,75;Adulto
Alta Lucratividade;Frete OK;21;283,29;Adulto
Lucratividade Normal;Frete OK;Pendente;413,1;Adulto
Lucratividade Normal;Auditar Frete;Pendente;27,468;Adulto
Lucratividade Normal;Auditar Frete;2;173,65;Adulto
Lucratividade Normal;Frete OK;Pendente;121,45;Adulto
Alta Lucratividade;Frete OK;16;1821,2;Adulto
Lucratividade Normal;Frete OK;8;283,392;Adulto
Alta Lucratividade;Frete OK;12;219,716;Adulto
Alta Lucratividade;Frete OK;Pendente;585,656;Adulto
Lucratividade Normal;Frete OK;Pendente;90,015;Adulto
Lucratividade Normal;Auditar Frete;Pendente;18,75;Jovem
Lucratividade Normal;Frete OK;Pendente;46,44;Adulto
Lucratividade Normal;Frete OK;12;77,004;Adulto
Lucratividade Normal;Frete OK;Pendente;249,35;Jovem
Lucratividade Normal;Auditar Frete;Pendente;81,8;Adulto
Lucratividade Normal;Frete OK;Pendente;227,16;Adulto
Lucratividade Normal;Frete OK;14;301,3;Adulto
Alta Lucratividade;Frete OK;6;625,765;Adulto
Alta Lucratividade;Frete OK;20;702,882;Adulto
Lucratividade Normal;Frete OK;7;233,41;Adulto
Lucratividade Normal;Frete OK;16;135,09;Jovem
Lucratividade Normal;Frete OK;Pendente;189,176;Adulto
Lucratividade Normal;Auditar Frete;21;22,68;Jovem
Alta Lucratividade;Frete OK;Pendente;660,896;Jovem
Lucratividade Normal;Frete OK;Pendente;305,5;Adulto
Lucratividade Normal;Frete OK;5;392,7;Adulto
Alta Lucratividade;Frete OK;Pendente;281,86;Adulto
Lucratividade Normal;Frete OK;Pendente;112,86;Adulto
Lucratividade Normal;Frete OK;Pendente;112,347;Adulto
Alta Lucratividade;Frete OK;5;297,143;Adulto
Alta Lucratividade;Frete OK;Pendente;325,458;Jovem
Alta Lucratividade;Frete OK;Pendente;1716,05;Adulto
Alta Lucratividade;Frete OK;Pendente;1188,5;Adulto
Lucratividade Normal;Frete OK;9;88,91;Adulto
Alta Lucratividade;Frete OK;Pendente;217,322;Jovem
Lucratividade Normal;Frete OK;Pendente;705,75;Adulto
Lucratividade Normal;Frete OK;9;149,226;Adulto
Lucratividade Normal;Frete OK;Pendente;169,575;Adulto
Lucratividade Normal;Frete OK;Pendente;57,456;Adulto
Alta Lucratividade;Frete OK;Pendente;1002,3;Adulto
Lucratividade Normal;Frete OK;Pendente;357,595;Jovem
Lucratividade Normal;Frete OK;16;57,912;Adulto
Lucratividade Normal;Frete OK;18;87,534;Jovem
Lucratividade Normal;Frete OK;5;114,912;Adulto
Lucratividade Normal;Frete OK;4;77,452;Adulto
Alta Lucratividade;Frete OK;7;579,42;Adulto
Alta Lucratividade;Frete OK;21;715,36;Adulto
Alta Lucratividade;Frete OK;Pendente;1489,5;Adulto
Alta Lucratividade;Frete OK;Pendente;321,81;Adulto
Lucratividade Normal;Frete OK;17;62,388;Adulto
Lucratividade Normal;Frete OK;Pendente;63,597;Adulto
Alta Lucratividade;Frete OK;14;445,113;Adulto
Alta Lucratividade;Frete OK;2;838,09;Adulto
Alta Lucratividade;Frete OK;Pendente;342,912;Adulto
Alta Lucratividade;Frete OK;Pendente;604,792;Adulto
Lucratividade Normal;Auditar Frete;Pendente;27,216;Adulto
Lucratividade Normal;Frete OK;24;296,786;Adulto
Lucratividade Normal;Frete OK;Pendente;16,56;Adulto
Alta Lucratividade;Frete OK;Pendente;2419,5;Adulto
Lucratividade Normal;Frete OK;Pendente;76,23;Adulto
Alta Lucratividade;Frete OK;23;798,84;Adulto
Lucratividade Normal;Frete OK;Pendente;112,556;Adulto
Lucratividade Normal;Frete OK;Pendente;156,264;Adulto
Lucratividade Normal;Frete OK;Pendente;168,57;Adulto
Lucratividade Normal;Frete OK;Pendente;41,769;Adulto
Lucratividade Normal;Frete OK;Pendente;399,7;Adulto
Alta Lucratividade;Frete OK;Pendente;407,052;Jovem
Alta Lucratividade;Frete OK;Pendente;760,4;Adulto
Lucratividade Normal;Frete OK;Pendente;79,23;Adulto
Lucratividade Normal;Frete OK;Pendente;99,212;Jovem
Alta Lucratividade;Frete OK;Pendente;558,828;Adulto
Lucratividade Normal;Frete OK;19;233,8;Jovem
Lucratividade Normal;Frete OK;2;102,809;Adulto
Lucratividade Normal;Frete OK;19;37,24;Adulto
Alta Lucratividade;Frete OK;12;1299,9;Jovem
Lucratividade Normal;Frete OK;Pendente;172,55;Adulto
Alta Lucratividade;Frete OK;Pendente;593,46;Adulto
Alta Lucratividade;Frete OK;20;557,277;Adulto
Alta Lucratividade;Frete OK;Pendente;602;Adulto
Lucratividade Normal;Auditar Frete;Pendente;65,265;Adulto
Lucratividade Normal;Auditar Frete;Pendente;87,7;Adulto
Lucratividade Normal;Frete OK;20;186,846;Adulto
Lucratividade Normal;Frete OK;Pendente;50,778;Jovem
Lucratividade Normal;Frete OK;Pendente;166,4;Adulto
Lucratividade Normal;Frete OK;Pendente;79,04;Adulto
Lucratividade Normal;Auditar Frete;11;22,716;Adulto
Alta Lucratividade;Frete OK;4;395,2;Adulto
Lucratividade Normal;Frete OK;16;47,804;Adulto
Lucratividade Normal;Frete OK;17;182,59;Jovem
Lucratividade Normal;Frete OK;17;113,76;Adulto
Alta Lucratividade;Frete OK;10;408,564;Adulto
Alta Lucratividade;Frete OK;20;387,294;Adulto
Lucratividade Normal;Auditar Frete;Pendente;31,878;Adulto
Lucratividade Normal;Auditar Frete;Pendente;6,018;Jovem
Lucratividade Normal;Frete OK;Pendente;269;Adulto
Lucratividade Normal;Frete OK;Pendente;136;Adulto
Lucratividade Normal;Auditar Frete;Pendente;43,13;Jovem
Alta Lucratividade;Frete OK;Pendente;400,045;Adulto
Lucratividade Normal;Frete OK;6;286,2;Adulto
Alta Lucratividade;Frete OK;17;649,629;Adulto
Lucratividade Normal;Frete OK;Pendente;87,248;Jovem
Lucratividade Normal;Frete OK;Pendente;41,778;Adulto
Lucratividade Normal;Frete OK;18;137,258;Adulto
Lucratividade Normal;Frete OK;Pendente;247,95;Adulto
Alta Lucratividade;Frete OK;15;803,2;Adulto
Lucratividade Normal;Frete OK;23;269,766;Adulto
Alta Lucratividade;Frete OK;24;523,422;Adulto
Lucratividade Normal;Frete OK;Pendente;145,53;Adulto
Lucratividade Normal;Frete OK;18;238,356;Adulto
Lucratividade Normal;Frete OK;Pendente;238,952;Adulto
Alta Lucratividade;Frete OK;16;408,31;Adulto
Lucratividade Normal;Auditar Frete;9;16,38;Adulto
Lucratividade Normal;Frete OK;22;154,622;Jovem
Lucratividade Normal;Frete OK;Pendente;93,955;Jovem
Lucratividade Normal;Auditar Frete;Pendente;50,58;Adulto
Lucratividade Normal;Frete OK;Pendente;92,834;Adulto
Lucratividade Normal;Frete OK;22;132,209;Adulto
Lucratividade Normal;Frete OK;Pendente;146,091;Jovem
Alta Lucratividade;Frete OK;2;1567,5;Jovem
Alta Lucratividade;Frete OK;Pendente;319,464;Adulto
Lucratividade Normal;Frete OK;18;234,36;Adulto
Alta Lucratividade;Frete OK;6;713,15;Adulto
Alta Lucratividade;Frete OK;5;314,944;Adulto
Lucratividade Normal;Frete OK;12;72,371;Adulto
Alta Lucratividade;Frete OK;19;233,871;Adulto
Lucratividade Normal;Frete OK;15;349,35;Adulto
Lucratividade Normal;Frete OK;Pendente;344,25;Adulto
Lucratividade Normal;Auditar Frete;12;57,19;Adulto
Alta Lucratividade;Frete OK;Pendente;276,488;Adulto
Alta Lucratividade;Frete OK;Pendente;472,3;Adulto
Alta Lucratividade;Frete OK;Pendente;280,84;Jovem
Lucratividade Normal;Frete OK;Pendente;174,08;Adulto
Alta Lucratividade;Frete OK;17;546,084;Adulto
Alta Lucratividade;Frete OK;23;589,248;Adulto
Lucratividade Normal;Auditar Frete;18;45,657;Adulto
Lucratividade Normal;Frete OK;10;80,154;Adulto
Alta Lucratividade;Frete OK;15;377,46;Jovem
Alta Lucratividade;Frete OK;Pendente;254,828;Adulto
Lucratividade Normal;Frete OK;Pendente;296,276;Adulto
Lucratividade Normal;Frete OK;2;133,164;Adulto
Lucratividade Normal;Frete OK;Pendente;159,188;Adulto
Lucratividade Normal;Frete OK;Pendente;145,198;Adulto
Alta Lucratividade;Frete OK;12;796,005;Adulto
Lucratividade Normal;Frete OK;Pendente;128,288;Jovem
Alta Lucratividade;Frete OK;17;428,49;Adulto
Lucratividade Normal;Frete OK;6;156,23;Adulto
Alta Lucratividade;Frete OK;Pendente;315,036;Adulto
Lucratividade Normal;Frete OK;20;214,164;Adulto
Alta Lucratividade;Frete OK;16;583,75;Adulto
Lucratividade Normal;Frete OK;Pendente;208,5;Adulto
Alta Lucratividade;Frete OK;10;840,6;Adulto
Alta Lucratividade;Frete OK;Pendente;1193,85;Adulto
Lucratividade Normal;Frete OK;24;397,6;Adulto
Alta Lucratividade;Frete OK;Pendente;1745,2;Jovem
Lucratividade Normal;Frete OK;15;117,135;Adulto
Lucratividade Normal;Auditar Frete;5;18,036;Adulto
Lucratividade Normal;Frete OK;25;177,327;Adulto
Alta Lucratividade;Frete OK;Pendente;748,6;Adulto
Lucratividade Normal;Frete OK;Pendente;233,28;Adulto
Lucratividade Normal;Frete OK;Pendente;113,356;Jovem
Alta Lucratividade;Frete OK;17;1128,9;Adulto
Lucratividade Normal;Auditar Frete;16;7,497;Adulto
Alta Lucratividade;Frete OK;Pendente;396,34;Adulto
Lucratividade Normal;Auditar Frete;25;69,3;Adulto
Lucratividade Normal;Auditar Frete;2;7,65;Adulto
Lucratividade Normal;Frete OK;14;136,884;Adulto
Lucratividade Normal;Frete OK;5;210,4;Adulto
Lucratividade Normal;Frete OK;20;142,884;Adulto
Lucratividade Normal;Frete OK;Pendente;37,5;Jovem
Alta Lucratividade;Frete OK;Pendente;323,646;Adulto
Lucratividade Normal;Auditar Frete;Pendente;29,032;Adulto
Lucratividade Normal;Frete OK;Pendente;179,208;Adulto
Alta Lucratividade;Frete OK;Pendente;364,572;Adulto
Lucratividade Normal;Auditar Frete;Pendente;34,713;Adulto
Lucratividade Normal;Frete OK;3;55,404;Adulto
Alta Lucratividade;Frete OK;25;371,688;Adulto
Alta Lucratividade;Frete OK;15;720,8;Jovem
Lucratividade Normal;Frete OK;Pendente;307,097;Adulto
Alta Lucratividade;Frete OK;Pendente;431,928;Adulto
Lucratividade Normal;Frete OK;12;146,988;Adulto
Lucratividade Normal;Frete OK;Pendente;79,135;Adulto
Lucratividade Normal;Frete OK;Pendente;98,724;Jovem
Lucratividade Normal;Frete OK;7;75,6;Adulto
Alta Lucratividade;Frete OK;Pendente;338,485;Adulto
Lucratividade Normal;Frete OK;9;457,2;Adulto
Lucratividade Normal;Frete OK;16;338,708;Adulto
Lucratividade Normal;Frete OK;18;75,6;Adulto
Lucratividade Normal;Frete OK;4;313,65;Adulto
Alta Lucratividade;Frete OK;18;210,035;Adulto
Alta Lucratividade;Frete OK;14;503,982;Adulto
Alta Lucratividade;Frete OK;20;773,11;Adulto
Alta Lucratividade;Frete OK;17;279,344;Adulto
Alta Lucratividade;Frete OK;23;757,656;Adulto
Alta Lucratividade;Frete OK;10;448,476;Adulto
Alta Lucratividade;Frete OK;14;473,442;Adulto
Lucratividade Normal;Frete OK;8;415,8;Adulto
Alta Lucratividade;Frete OK;Pendente;444,822;Adulto
Lucratividade Normal;Frete OK;Pendente;39,634;Adulto
Alta Lucratividade;Frete OK;17;384,948;Adulto
Lucratividade Normal;Frete OK;9;152,424;Adulto
Alta Lucratividade;Frete OK;17;464,712;Adulto
Lucratividade Normal;Frete OK;19;189,85;Adulto
Lucratividade Normal;Frete OK;14;215,73;Adulto
Alta Lucratividade;Frete OK;Pendente;1121,7;Adulto
Lucratividade Normal;Auditar Frete;Pendente;20,862;Adulto
Lucratividade Normal;Auditar Frete;Pendente;30,456;Jovem
Alta Lucratividade;Frete OK;6;219,906;Adulto
Lucratividade Normal;Frete OK;Pendente;135,354;Jovem
Lucratividade Normal;Frete OK;20;170;Adulto
Lucratividade Normal;Auditar Frete;Pendente;71,1;Jovem
Alta Lucratividade;Frete OK;Pendente;410,704;Adulto
Alta Lucratividade;Frete OK;24;433,96;Jovem
Lucratividade Normal;Frete OK;Pendente;135,318;Adulto
Lucratividade Normal;Frete OK;Pendente;359;Adulto
Lucratividade Normal;Frete OK;2;154;Adulto
Alta Lucratividade;Frete OK;Pendente;289,494;Adulto
Lucratividade Normal;Frete OK;Pendente;76,536;Jovem
Lucratividade Normal;Frete OK;Pendente;369,9;Adulto
Alta Lucratividade;Frete OK;8;274,04;Adulto
Alta Lucratividade;Frete OK;12;198,018;Adulto
Lucratividade Normal;Frete OK;Pendente;154,386;Adulto
Lucratividade Normal;Frete OK;Pendente;247,86;Adulto
Lucratividade Normal;Frete OK;Pendente;177,84;Adulto
Lucratividade Normal;Auditar Frete;Pendente;2,318;Adulto
Lucratividade Normal;Frete OK;Pendente;106,096;Adulto
Alta Lucratividade;Frete OK;Pendente;326,249;Adulto
Alta Lucratividade;Frete OK;Pendente;1148;Adulto
Lucratividade Normal;Auditar Frete;2;58,803;Adulto
Alta Lucratividade;Frete OK;Pendente;438,056;Jovem
Lucratividade Normal;Frete OK;Pendente;118,49;Adulto
Alta Lucratividade;Frete OK;2;571,968;Adulto
Alta Lucratividade;Frete OK;16;472,872;Jovem
Alta Lucratividade;Frete OK;Pendente;854,82;Adulto
Alta Lucratividade;Frete OK;18;475,524;Adulto
Lucratividade Normal;Frete OK;Pendente;119,985;Adulto
Lucratividade Normal;Frete OK;Pendente;171,904;Adulto
Alta Lucratividade;Frete OK;10;1228;Jovem
Alta Lucratividade;Frete OK;9;462,06;Adulto
Alta Lucratividade;Frete OK;12;682,2;Adulto
Lucratividade Normal;Auditar Frete;22;15;Jovem
Alta Lucratividade;Frete OK;Pendente;929;Adulto
Lucratividade Normal;Frete OK;Pendente;75,2;Adulto
Alta Lucratividade;Frete OK;Pendente;393,84;Adulto
Alta Lucratividade;Frete OK;5;1309,6;Adulto
Lucratividade Normal;Frete OK;21;187,326;Adulto
Alta Lucratividade;Frete OK;5;1341;Adulto
Lucratividade Normal;Frete OK;Pendente;180,35;Jovem
Lucratividade Normal;Frete OK;8;124,032;Adulto
Lucratividade Normal;Frete OK;6;390,6;Adulto
Alta Lucratividade;Frete OK;Pendente;1680,35;Adulto
Lucratividade Normal;Frete OK;14;164,92;Adulto
Alta Lucratividade;Frete OK;24;324;Adulto
Alta Lucratividade;Frete OK;Pendente;1838;Adulto
Lucratividade Normal;Auditar Frete;Pendente;25,365;Adulto
Alta Lucratividade;Frete OK;Pendente;412,167;Jovem
Alta Lucratividade;Frete OK;7;838,2;Adulto
Alta Lucratividade;Frete OK;23;305,045;Adulto
Lucratividade Normal;Auditar Frete;7;11,286;Adulto
Lucratividade Normal;Frete OK;Pendente;152,247;Jovem
Alta Lucratividade;Frete OK;Pendente;1128,05;Adulto
Lucratividade Normal;Auditar Frete;Pendente;35,836;Adulto
Lucratividade Normal;Frete OK;Pendente;47,5;Adulto
Alta Lucratividade;Frete OK;10;244,568;Adulto
Lucratividade Normal;Frete OK;6;52,38;Adulto
Alta Lucratividade;Frete OK;13;599,76;Adulto
Lucratividade Normal;Frete OK;Pendente;306,72;Jovem
Lucratividade Normal;Auditar Frete;13;9,826;Adulto
Lucratividade Normal;Frete OK;25;48,83;Adulto
Lucratividade Normal;Frete OK;7;242,568;Adulto
Alta Lucratividade;Frete OK;22;578,8;Adulto
Lucratividade Normal;Frete OK;Pendente;180,88;Jovem
Lucratividade Normal;Frete OK;Pendente;63,916;Adulto
Alta Lucratividade;Frete OK;Pendente;908;Adulto
Lucratividade Normal;Auditar Frete;19;17,595;Adulto
Lucratividade Normal;Auditar Frete;Pendente;140,4;Adulto
Lucratividade Normal;Auditar Frete;Pendente;25,488;Adulto
Lucratividade Normal;Frete OK;Pendente;83,79;Adulto
Alta Lucratividade;Frete OK;6;879;Adulto
Alta Lucratividade;Frete OK;Pendente;623,322;Adulto
Lucratividade Normal;Frete OK;22;273,7;Adulto
Lucratividade Normal;Frete OK;Pendente;298,86;Adulto
Lucratividade Normal;Auditar Frete;25;28,842;Jovem
Lucratividade Normal;Auditar Frete;Pendente;27,4;Adulto
Alta Lucratividade;Frete OK;4;569;Adulto
Lucratividade Normal;Frete OK;Pendente;139,91;Jovem
Alta Lucratividade;Frete OK;11;347,928;Adulto
Lucratividade Normal;Frete OK;22;133,144;Adulto
Alta Lucratividade;Frete OK;Pendente;427,014;Adulto
